Duration,Intended Duration,
0.0489681,Infinity,
0.4930313,0.5,-0.0069687
0.5068841,0.5,0.0068841
0.4929414,0.5,-0.0070586
0.5067443,0.5,0.0067443
0.4930145,0.5,-0.0069855
0.520801,0.5,0.020801
0.4858813,0.5,-0.0141187
0.5140257,0.5,0.0140257
0.4857628,0.5,-0.0142372
0.4930705,0.5,-0.0069295
0.5067567,0.5,0.0067567
0.4931512,0.5,-0.0068488
0.5205755,0.5,0.0205755
0.4860566,0.5,-0.0139434
0.513709,0.5,0.013709
0.4862475,0.5,-0.0137525
0.4929496,0.5,-0.0070504
0.506752,0.5,0.006752
0.4929579,0.5,-0.0070421
0.5066472,0.5,0.0066472
0.4930523,0.5,-0.0069477
0.5207447,0.5,0.0207447
0.4859558,0.5,-0.0140442
0.513973,0.5,0.013973
0.4861204,0.5,-0.0138796
0.4927446,0.5,-0.0072554
0.5067812,0.5,0.0067812
0.4930649,0.5,-0.0069351
0.5208798,0.5,0.0208798
0.4858433,0.5,-0.0141567
0.5137956,0.5,0.0137956
0.486081,0.5,-0.013919
0.4929055,0.5,-0.0070945
0.5139778,0.5,0.0139778
0.4858004,0.5,-0.0141996
0.5138038,0.5,0.0138038
0.4861288,0.5,-0.0138712
0.5206992,0.5,0.0206992
0.4930499,0.5,-0.0069501
0.5068411,0.5,0.0068411
0.4928742,0.5,-0.0071258
0.4861371,0.5,-0.0138629
0.5135754,0.5,0.0135754
0.4860143,0.5,-0.0139857
0.5209073,0.5,0.0209073
0.4928932,0.5,-0.0071068
0.5067028,0.5,0.0067028
0.4931116,0.5,-0.0068884
0.4859858,0.5,-0.0140142
0.5138437,0.5,0.0138437
0.4858433,0.5,-0.0141567
0.5147352,0.5,0.0147352
0.4852226,0.5,-0.0147774
0.5205379,0.5,0.0205379
0.4931881,0.5,-0.0068119
0.5066692,0.5,0.0066692
0.4930931,0.5,-0.0069069
0.4860986,0.5,-0.0139014
0.5137604,0.5,0.0137604
0.4860632,0.5,-0.0139368
0.5206467,0.5,0.0206467
0.4928685,0.5,-0.0071315
0.506803,0.5,0.006803
0.4930311,0.5,-0.0069689
0.4929584,0.5,-0.0070416
0.5068139,0.5,0.0068139
0.4929907,0.5,-0.0070093
0.5067646,0.5,0.0067646
0.4930711,0.5,-0.0069289
0.5137349,0.5,0.0137349
0.492777,0.5,-0.007223
0.5140435,0.5,0.0140435
0.4860657,0.5,-0.0139343
0.4929518,0.5,-0.0070482
0.5066967,0.5,0.0066967
0.493035,0.5,-0.006965
0.5206943,0.5,0.0206943
0.486055,0.5,-0.013945
0.5137454,0.5,0.0137454
0.486125,0.5,-0.013875
0.4928451,0.5,-0.0071549
0.5068476,0.5,0.0068476
0.4929755,0.5,-0.0070245
0.5068567,0.5,0.0068567
0.493133,0.5,-0.006867
,,0.0051487
